,long_name,short_name,short_loc,league,
 Crewe Alexandra, Crewe Alexandra, Crewe Alexandra,,,League One
 Oldham Athletic, Oldham Athletic, Oldham Athletic,,,League One
 Peterborough United, Peterborough United,,,,League One
 Port Vale, Port Vale, Port Vale,,,League One
 Preston North End, Preston North End, Preston North End,,,League One
 Rotherham United, Rotherham United, Rotherham United,,,League One
 Sheffield United, Sheffield United, Sheffield United,,,League One
 Shrewsbury Town, Shrewsbury Town, Shrewsbury Town,,,League One
 Stevenage, Stevenage, Stevenage,,,League One
 Swindon Town, Swindon Town, Swindon Town,,,League One
 Tranmere Rovers, Tranmere Rovers, Tranmere Rovers,,,League One
 Walsall, Walsall, Walsall,,,League One
 Wolves, Wolves, Wolves,,,League One
 Afghanistan, Afghanistan, Afghanistan,,,International
 Albania, Albania, Albania,,,International
 Algeria, Algeria, Algeria,ALG,,International
 American Samoa, American Samoa, American Samoa,,,International
 Andorra, Andorra, Andorra,,,International
 Angola, Angola, Angola,,,International
 Anguilla, Anguilla, Anguilla,,,International
 Antigua and Barbuda, Antigua and Barbuda,,,,International
 Argentina, Argentina, Argentina,ARG,,International
 Armenia, Armenia, Armenia,,,International
 Aruba, Aruba, Aruba,,,International
 Australia, Australia, Australia,AUS,,International
 Austria, Austria, Austria,,,International
 Azerbaijan, Azerbaijan, Azerbaijan,,,International
 Bahamas, Bahamas, Bahamas,,,International
 Bahrain, Bahrain, Bahrain,,,International
 Bangladesh, Bangladesh, Bangladesh,,,International
 Barbados, Barbados, Barbados,,,International
 Belarus, Belarus, Belarus,,,International
 Belgium, Belgium, Belgium,BEL,,International
 Belize, Belize, Belize,,,International
 Benin, Benin, Benin,,,International
 Bermuda, Bermuda, Bermuda,,,International
 Bhutan, Bhutan, Bhutan,,,International
 Bolivia, Bolivia, Bolivia,,,International
 Bonaire, Bonaire, Bonaire,,,International
 Bosnia-Herzegovina, Bosnia-Herzegovina,,BIH,,International
 Botswana, Botswana, Botswana,,,International
 Brazil, Brazil, Brazil,BRA,,International
 British Virgin Islands, British Virgin Islands,,,,International
 Brunei, Brunei, Brunei,,,International
 Bulgaria, Bulgaria, Bulgaria,,,International
 Burkina Faso, Burkina Faso, Burkina Faso,,,International
 Burundi, Burundi, Burundi,,,International
 Cambodia, Cambodia, Cambodia,,,International
 Cameroon, Cameroon, Cameroon,CMR,,International
 Canada, Canada, Canada,,,International
 Cape Verde, Cape Verde, Cape Verde,,,International
 Cayman Islands, Cayman Islands, Cayman Islands,,,International
 Central African Republic, Central African Republic,,,,International
 Chad, Chad, Chad,,,International
 Chile, Chile, Chile,CHI,,International
